PackageID,name,description,Returnable,Rate
3378,220/3250,,,
3379,CORGO,,,
3380,FREEJ,,,
3381,PUC GONI,,,
3382,PUC BOX,,,
3383,BELT BUNDAL,,,
3384,MACHIN,,,
3385,PLANT RAK,,,
3386,MCH,,,
3387,BOX BANDAL,,,
3388,BAMPAR,,,
3389,ROD BUNDAL,,,
3390,D-FREEJ,,,
3391,AUTOPART,,,
3392,AC,,,
3393,WHEEL,,,
3394,FAAN,,,
3395,CABLE BAG,,,
3396,MEDI ,,,
3397,10-16.50 TYRE,,,
3398,155/80 D13,,,
3399,PVC BOX,,,
3400,ELECTRICAL GOODS,,,
3401,PVC BAG,,,
3402,LOSE MOTAR,,,
3403,ENGINE BOX,,,
3404,12.0/75-18 TYRE,,,
3405,COOLER BOX,,,
3406,PAPER BAG,,,
3407,WARNES BAG,,,
3408,OIL DAG,,,
3409,BIG BATTERY,,,
3410,SMALL BATTERY,,,
3411,13.00-24 TYRE,,,
3412,PATTA GONI,,,
3413,BUSH GONI,,,
3414,VARNISH BOX,,,
3415,SLEEVE GONI,,,
3416,195/60R16,,,
3417,BKT,,,
3418,DRAM,,,
3419,ALUMINIUM SHEET BUNDAL,,,
3420,BAR ,,,
3421,AC BOX,,,
3422,BLADE BOX,,,
3423,LOSE PART,,,
3424,LOOSE MOTOR,,,
3425,CHILLER BOX,,,
3426,CYCLE BAG,,,
3427,WASHING MACHINE,,,
3428,LED BOX,,,
3429,BAR BUNDAL,,,
3430,BEARING GONI,,,
3431,LOSE ROLL,,,
3432,12.5/80-18 TYRE,,,
3433,JAR LOSE,,,
3434,GREES BOX,,,
3435,BEARING BOX,,,
3436,HUB,,,
3437,TUBE GONI,,,
3438,CARBO,,,
3439,BODY PART,,,
3440,SPARE ROLL,,,
3441,90/90-10 TYRE,,,
3442,WALL  ,,,
3443,JODA BUCKET,,,
3444,175/80 D14 TYRE,,,
3445,Med,,,
3446,165/70R13 TYRE,,,
3447,SANMIKE PISCES,,,
3448,PIPE BUNDAL GONI,,,
3449,JUMBO,,,
3450,POP BOX,,,
3451,CHIAR BOX,,,
3452,SPARE,,,
3453,CHAPPAL BAG,,,
3454,5.25-14 TYRE,,,
3455,MACHINE,,,
3456,12.00/20 FM TYRE,,,
3457,POCKET,,,
3458,4.00-8 760 TYRE,,,
3459,165/70 R14 TYRE,,,
3460,JALI,,,
3461,205/75 R15 TYRE,,,
3462,ROTTOR,,,
3463,MOTOR PUMP,,,
3464,CARDON,,,
3465,5-12 TYRE,,,
3466,5.00-16,,,
3467,AXLE,,,
3468,GENRATOR BOX,,,
3469,LOKHANDI PLATE,,,
3470,175-2950 TYRE,,,
3471,PART,,,
3472,GADI BANDLE,,,
3473,JALI BUNDAL,,,
3474,LOSE BUNDAL,,,
3475,PARCEL,,,
3476,SPARE GONI,,,
3477,PUMP ,,,
3478,SPARE BOX,,,
3479,SHAFT BOX,,,
3480,PEPAR BANDLE,,,
3481,110/70-17 TYRE,,,
3482,14.00-24 TYRE,,,
3483,205/55R16,,,
3484,SPEAR SAMLL,,,
3485,COIL,,,
3486,Oil ,,,
3487,WACHINE MACHINE,,,
3488,BO,,,
3489,TWO.,,,
3490,Keball  Bandal,,,
3491,Fun,,,
3492,CEMENT,,,
3493,THIBAK BAG,,,
3494,OIL BUCKET3,,,
3495,STAND BOX,,,
3496,CAND,,,
3497,MASHIN BOX,,,
3498,447,,,
3499,23/8.5,,,
3500,MANGO BOX,,,
3501,185R14 TYRE,,,
3502,1T,,,
3503,900.16,,,
3504,SP.,,,
3505,BAR BANDIE,,,
3506,1000R20,,,
3507,10.00 R 20,,,
3508,600/16,,,
3509,23.1-26 TYRE,,,
3510,PLASTIC BAG,,,
3511,KEBAL DRUM,,,
3512,PUMP MOTAR 0.5 HP,,,
3513,Salin Stand,,,
3514,LOKHANDI DRUM,,,
3515,SOLAR,,,
3516,295/80R22.5,,,
3517,210-2470,,,
3518,S S TANK,,,
3519,PATA BANDAL,,,
3520,160-2520,,,
3521,BGA,,,
3522,HOSE PIPE,,,
3523,LOKHANDI BAR,,,
3524,7.00-15,,,
3525,900/20,,,
3526,295/90R20,,,
3527,"BOX,BAG",,,
3528,WIRE BUNDAL,,,
3529,ROL,,,
3530,C.,,0,0:00 
3531,LOSE,,,
3532,PEPER ROLL,,,
3533,TROLLY,,,
3534,BED,,,
3535,JACK BOX,,,
3536,LOOSE PUMP,,,
3537,UPC PIPE,,,
3538,LOKHANDI PATTI,,,
3539,80/1000,,,
3540,8..25,,,
3541,COOLANT BOX,,,
3542,PUMP MOTOR 12.5 HP,,,
3543,PUMP MOTOR 10HP,,,
3544,10,,,
3545,FILTER,,,
3546,TRAVEL BAG,,,
3547,PEPAR BOX,,,
3548,7.00-15 TUBE,,,
3549,DIESEL TANK,,,
3550,LOKHANDI BAR BUNDAL,,,
3551,BUCKET BUNDAL,,,
3552,TV BOX,,,
3553,WHITE BOX,,,
3554,225/50R18 TYRE,,,
3555,PACKET,,,
3556,HOOK LOOSE,,,
3557,GUM BOX,,,
3558,SPARE PART BUNDAL,,,
3559,BOX`,,,
3560,12.4-24 TYRE,,,
3561,TIN,,,
3562,OVEN BOX,,,
3563,KAPAD BAG,,,
3564,ELECTRICAL GONI,,,
3565,CAPD GAT,,,
3566,Pepsirol,,,
3567,HAIAR FREEZ,,,
3568,BOIX,,,
3569,MACHINE BOX,,,
3570,W MACHINE,,,
3571,235/60R18,,,
3572,LOKHANDI PART BUNDAL,,,
3573,CHAIR ,,,
3574,TF,,,
3575,Medicine Creat,,,
3576,SANPAL BOX,,,
3577,PUMP GONI,,,
3578,TUBE PAKET,,,
3579,CROWN  PEPAR ROLL,,,
3580,12.00-24,,,
3581,CB 10.00-20,,,
3582,CYLINDER,,,
3583,225/60/R17,,,
3584,MOTOR CYCLE,,,
3585,PLTOOD PIS,,,
3586,TUBE 145/70R12,,,
3587,14.9-24 TYRE,,,
3588,90/90-18 TYRE,,,
3589,50DRUM,,,
3590,PATTI BOX,,,
3591,6.00-12 TYRE,,,
3592,CHATTRI BUNDAL,,,
3593,200/2400,,,
3594,215/60 R17,,,
3595,B AG,,,
3596,130/90-15,,,
3597,120/80-16,,,
3598,7.50R16,,,
3599,TYRES,,,
3600,SCOOTY,,,
3601,PATRA BUMPER,,,
3602,GATE BOX,,,
3603,8-16 TYRE,,,
3604,PIPE BUNDAL`,,,
3605,WATER COOLER,,,
3606,CARGO,,,
3607,DAG,,,
3608,SHEET,,,
3609,C/R,,,
3610,AXLE BANDAL,,,
3611,BUNDAL(BODY),,,
3612,11.2-20,,,
3613,SIDE BODY,,,
3614,ROOT PANEL,,,
3615,TUBE 165/65 R13,,,
3616,ROLL BUNDAL,,,
3617,TUBE10.00-20,,,
3618,BAG BOX,,,
3619,HUD,,,
3620,PUMP LUJ,,,
3621,BOARD,,,
3622,SHEET BUNDAL,,,
4622,CHAIN KIT BOX,,,
4623,MEDICINE BOX1,,,
4624,CAR DARWAJA,,,
4625,295/18R55,,,
4626,STOL BOX,,,
4627,STOL BUNDAL,,,
4628,145R,,,
4629,DOOR PIS,,,
4630,SHOFT BUNDAL,,,
4631,8.3-12 TYRE,,,
4632,CRET PUMP,,,
4633,NOS PETI,,,
4634,SILENDER,,,
4635,PEPAR SHEET,,,
4636,BOS,,,
4637,OPENWELL,,,
4638,UPS BOX,,,
4639,BOX1,,,
4640,BARRAL,,,
4641,MIDIUM BOX,,,
4642,RAC BOX,,,
4643,CHATRI,,,
4644,PIPE ROLL,,,
4645,TUBE 8.25-16,,,
4646,CABEL GONI,,,
4647,B OX,,,
4648,MOTOR CYCLE HERO,,,
4649,215/70 R16,,,
4650,SLOT,,,
4651,185/55R16 TYRE,,,
4652,SMALL BAG,,,
4653,10.16.5 TYRE,,,
4654,5.,,,
4655,RING,,,
4656,GIFT ,,,
4657,PUMP MOTAR 1 HP,,,
4658,KAPAD BAG2,,,
4659,RATAR FRAM,,,
4660,70/100-17 TYRE,,,
4661,RING BUNDAL,,,
4662,LOSE BOX,,,
4663,420/85R28,,,
4664,PI PE BAND LE,,,
4665,175/60-15 TYRE,,,
4666,520-14 TYRE,,,
4667,PATA (LOOSE),,,
4668,195/65 R15 TYRE,,,
4669,205/50 R17 TYRE,,,
4670,RO BOX,,,
4671,CYCLE BOX,,,
4672,FOLDER,,,
4673,WASH BESIN,,,
4674,GIRNI BOX,,,
4675,ATTA CHAKI,,,
4676,PATTI BUNDAL,,,
4677,BATH TUB,,,
4678,10-16.5 TYRE,,,
4679,SEAT BUNDAL,,,
4680,CONTENER BOX,,,
4681,WOOD,,,
4682,STD PANEL STAND,,,
4683,SMALL RING,,,
4684,DRYOR,,,
4685,900.-16,,,
4686,136,,,
4687,PILO,,,
4688,185,,,
4689,TYRE ,,,
4690,VAJAN KATA,,,
4691,8.3-20 TYRE,,,
4692,FREEJ FKG320,,,
4693,FREEJ FKG120,,,
4694,175*70  TYRE,,,
4695,SAMPLE BAG,,,
4696,PVC ROLLS,,,
4697,ALUMINIUM BUNDAL,,,
4698,PATARWALI BUNDAL,,,
4699,SHUTTER PATTI,,,
4700,NATBOLT,,,
4701,KITCHEN BASKET,,,
4702,185/80 R14 TYRE,,,
4703,PATRA BUNDAL,,,
4704,DRYING MACHINE,,,
4705,PLASTIC BUNDAL,,,
4706,TUBE A,,,
4707,295/95 D20 TYRE,,,
4708,HANDLE,,,
4709,BIKE MH 12PG1764,,,
4710,GREES PETI,,,
4711,BRACKET,,,
4712,CARAGE,,,
4713,NAG,,,
4714,LOKHANDI BLOCK,,,
4715,Skid,,,
4716,10.5/65-16 TYRE,,,
4717,JCB BUKKET,,,
4718,340/85 R28 TYRE,,,
4719,14,,,
4720,CARTOON,,,
4721,PUMP ROLL AND PETI,,,
4722,SMALL PETI,,,
4723,MOTAR GADI,,,
4724,CHIAR ,,,
4725,PET,,,
4726,ROD GONI,,,
4727,STYLE BOX,,,
4728,PUMP MOTAR 2 HP,,,
4729,WIRE ROPE,,,
4730,PVC BO,,,
4731,BUK,,,
4732,RING BRACKET,,,
4733,TAKI,,,
4734,6.0016,,,
4735,GIFT BUNDAL,,,
4736,SAND FILTER,,,
4737,SAND BAG,,,
4738,JAW PLATE,,,
4739, M CYCE TYRE,,,
4740,BHANDI,,,
4741,90/100-18 TYRE,,,
4742,9,,,
4743,MOTOR PETI,,,
4744,MOTOR BOX,,,
4745,120/70-12 TYRE,,,
4746,SMALL BUCKET,,,
4747,LOKHANDI HOUSING,,,
4748,TUF,,,
4749,195 D15,,,
4750,DAVAJA,,,
4751,MH45Q6446 TWO WHEELER,,,
4752,PUMP MOTAR 25 HP,,,
4753,MICRON BOX,,,
4754,90/90-21 TYRE,,,
4755,STOOL,,,
4756,POSTER,,,
4757,KAND,,,
4758,PIANT,,,
4759,4,,,
4760,PUMP MOTAR 12.5HP,,,
4761,PUMP MOTAR 10 HP,,,
4762,17.5-25 TYRE,,,
4763,LOKHANDI WALL,,,
4764,BOTTAL,,,
4765,PATTA BUNDAL,,,
4766,14.,,,
4767,20 LT BUCCET,,,
4768,7.5 LT BUCCET,,,
4769,INVELOPE (PACKET),,,
4770,BOILER,,,
4771,HUK,,,
4772,BUNDAL BOX,,,
4773,SAMPLE BOX,,,
4774,SANMIKE PETI,,,
4775,20 LT DRUM,,,
4776,JAR GONI,,,
4777,COOL JAR GONI,,,
4778,BUSH PUM,,,
